City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,east london,-33.0153,27.9116,23.09,78,100,9.28,ZA,1707273371
83,tolanaro,-25.0319,46.9987,23.04,94,40,9.77,MG,1707273371
84,bredasdorp,-34.5322,20.0403,19.03,69,0,4.79,ZA,1707273371
85,hawaiian paradise park,19.5933,-154.9731,23.26,81,100,2.06,US,1707273371
86,alice springs,-23.7,133.8833,30.12,44,75,7.72,AU,1707273371
87,renfrew,55.872,-4.3925,2.4,92,100,1.03,GB,1707273372
88,chonchi,-42.6128,-73.8092,14.56,70,54,3.15,CL,1707273102
89,ciudad lazaro cardenas,17.9583,-102.2,24.69,78,12,1.24,MX,1707273372
90,la passe,45.5549,-0.8967,10.55,92,98,5.72,FR,1707273372
91,bereket,39.2446,55.5154,6.01,53,92,1.8,TM,1707273372
92,howard springs,-12.497,131.047,33.23,77,18,4.14,AU,1707273372
93,rongelap,11.1635,166.8941,26.76,81,95,6.34,MH,1707273372
94,port moresby,-9.4431,147.1797,30.68,70,75,5.14,PG,1707273076
95,celestun,20.8667,-90.4,19.84,63,40,4.2,MX,1707273372
96,mata-utu,-13.2816,-176.1745,28.81,78,97,6.33,WF,1707273373
97,yeppoon,-23.1333,150.7333,31.88,62,10,7.38,AU,1707273373
98,port lincoln,-34.7333,135.8667,20.17,61,23,4.64,AU,1707273373
99,borovskoy,53.8,64.15,-1.24,95,100,8.39,KZ,1707273373
100,roma,43.2128,-75.4557,-0.71,77,48,0.45,US,1707273373
101,ulladulla,-35.35,150.4667,20.25,65,82,5.09,AU,1707273374
102,ribeira grande,38.5167,-28.7,17.65,91,87,9.39,PT,1707273374
103,pacho,5.1328,-74.1598,17.76,95,98,1.6,CO,1707273374
104,talnakh,69.4865,88.3972,-19.27,83,100,3.01,RU,1707273374
105,whitehorse,60.7161,-135.0538,-14.39,82,75,2.57,CA,1707273374
106,wailua homesteads,22.0669,-159.378,26.24,66,75,8.75,US,1707273374
107,carnarvon,-24.8667,113.6333,33.82,40,4,6.39,AU,1707273374
108,praia da vitoria,38.7333,-27.0667,17.14,88,20,6.05,PT,1707273374
109,san antonio de pale,-1.4014,5.6325,27.86,75,65,2.84,GQ,1707273375
110,ardakan,32.31,54.0175,6.07,34,0,1.1,IR,1707273375
111,mahina,-17.5065,-149.489,27.87,83,75,5.66,PF,1707273375
112,tidjikja,18.5564,-11.4271,20.38,11,0,7.59,MR,1707273375
113,tofol,5.3248,163.0078,30.88,70,75,7.2,FM,1707273375
114,zeya,53.75,127.2667,-16.4,85,100,0.79,RU,1707273376
115,muroto-misakicho,33.2833,134.15,10.57,57,13,1.41,JP,1707273376
116,mount gambier,-37.8333,140.7667,21.96,42,66,3.63,AU,1707273376
117,ilulissat,69.2167,-51.1,-6.99,49,100,11.32,GL,1707273321
118,tostado,-29.232,-61.7692,29.99,56,40,3.89,AR,1707273376
119,aioun,16.6614,-9.6149,19.99,11,0,6.04,MR,1707273377
120,susuman,62.7833,148.1667,-29.45,100,99,0.45,RU,1707273316
121,ubinskoye,55.3068,79.6802,-9.09,84,100,5.0,RU,1707273377
122,silverton,45.0051,-122.7832,8.71,92,83,1.63,US,1707273377
123,jamestown,42.097,-79.2353,-1.2,85,0,3.09,US,1707273368
124,papatowai,-46.5619,169.4708,17.11,53,16,4.37,NZ,1707273377
125,leticia,-4.2153,-69.9406,24.03,100,40,0.0,CO,1707273377
126,tralee,52.2704,-9.7026,3.68,86,99,2.13,IE,1707273377
127,tadjourah,12.0,42.5,22.57,73,51,2.99,DJ,1707273377
128,kosh-agach,50.0,88.6667,-26.5,93,66,1.34,RU,1707273377
129,gazojak,41.1875,61.4036,3.98,59,100,8.14,TM,1707273377
130,uyar,55.81,94.3153,-16.08,91,48,1.08,RU,1707273377
131,lysekil,58.2743,11.4358,-2.16,85,100,5.12,SE,1707273378
132,talara,-4.5772,-81.2719,26.42,83,40,5.14,PE,1707273378
133,sant lluis,39.8526,4.2594,11.22,100,100,1.54,ES,1707273378
134,cabo san lucas,22.8909,-109.9124,23.61,77,75,5.14,MX,1707273284
